duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,department_change,division_change,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
135,.under_1,Self Sufficiency,20.0,2,F,,U,A,30_to_34,30_to_34,Staff,1,1,0.02958000000000001,48.36549768518518,wop6wqjCk8KKwqU=,Retirement
132,.under_1,Children Services,18.1933,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,132.36549768518518,wop6wqjCk8KJwqI=,Retirement
140,.under_1,Children Services,14.4364,2,M,,U,A,.under_29,.under_29,Staff,1,1,0.0031171428571428626,48.36549768518518,wop6wqjCk8KIwqY=,Retirement
118,.under_1,Finance and Forecasting,25.1638,1,F,WHITE,U,A,35_to_39,35_to_39,Staff,0,0,0.0,118.3654976851852,wop6wqjCk8KHwp8=,Retirement
132,.under_1,Children Services,14.0,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,132.36549768518518,wop6wqjCk8KDwp8=,Retirement
132,.under_1,Children Services,14.4364,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,132.36549768518518,wop6wqjCk8KDwp4=,Retirement
132,.under_1,Administrative Services,18.7559,1,F,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,132.36549768518518,wop6wqjCksKMwqM=,Retirement
132,.under_1,Children Services,14.4364,1,F,HISPA,U,A,45_to_49,45_to_49,Staff,0,0,0.0,132.36549768518518,wop6wqjCksKMwqI=,Retirement
132,.under_1,Administrative Services,27.0,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,132.36549768518518,wop6wqjCksKIwqQ=,Retirement
132,.under_1,Finance and Forecasting,22.4602,1,M,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,132.36549768518518,wop6wqjCksKIwqM=,Retirement
132,.under_1,Children Services,14.4364,1,F,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,132.36549768518518,wop6wqjCksKIwqI=,Retirement
146,.under_1,Children Services,18.9969,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,146.3654976851852,wop6wqfCm8KFwqU=,Retirement
146,.under_1,Children Services,14.4364,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,146.3654976851852,wop6wqfCm8KFwp4=,Retirement
153,.under_1,Self Sufficiency,18.7559,2,F,HISPA,U,A,over_60,over_60,Staff,1,1,0.023467973856209152,118.3654976851852,wop6wqfCm8KEwqY=,Retirement
177,.under_1,Children Services,16.26388,3,F,HISPA,U,A,.under_29,.under_29,Staff,1,1,0.0095806779661017,48.36549768518518,wop6wqfCmsKHwqE=,Retirement
160,.under_1,Children Services,17.5638,1,F,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,160.36549768518518,wop6wqfCmsKDwqU=,Retirement
160,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,160.36549768518518,wop6wqfCmsKDwqI=,Retirement
175,.under_1,Self Sufficiency,18.226,2,F,,U,A,30_to_34,30_to_34,Staff,1,1,0.024148571428571422,34.36549768518518,wop6wqfCmcKFwqM=,Retirement
174,.under_1,Children Services,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmcKFwqI=,Retirement
175,.under_1,Administrative Services,41.1265,1,M,AMIND,U,A,50_to_54,50_to_54,Staff,0,0,0.0,175.3654976851852,wop6wqfCmcKFwqE=,Retirement
183,.under_1,Self Sufficiency,16.0067,2,M,WHITE,U,A,40_to_44,40_to_44,Staff,1,1,0.010965573770491796,48.36549768518518,wop6wqfCmcKDwqM=,Retirement
175,.under_1,Self Sufficiency,16.0067,3,F,HISPA,U,A,.under_29,.under_29,Staff,1,1,0.011466857142857135,48.36549768518518,wop6wqfCmcKDwqE=,Retirement
174,.under_1,Children Services,15.6143,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmcKDwqA=,Retirement
174,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKGwqU=,Retirement
174,.under_1,Children Services,15.0139,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKGwqM=,Retirement
174,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.3654976851852,wop6wqfCmMKGwqI=,Retirement
174,.under_1,Children Services,27.8076,1,F,WHITE,U,A,50_to_54,50_to_54,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKGwqE=,Retirement
174,.under_1,Adult Services,18.7559,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKGwp8=,Retirement
174,.under_1,Administrative Services,30.0,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.3654976851852,wop6wqfCmMKGwp4=,Retirement
174,.under_1,Children Services,15.6143,1,F,HISPA,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKFwqY=,Retirement
174,.under_1,Children Services,25.7097,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKFwqU=,Retirement
174,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKEwp0=,Retirement
174,.under_1,Children Services,26.7381,1,F,BLACK,U,A,45_to_49,45_to_49,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKDwqY=,Retirement
176,.under_1,Children Services,25.7097,1,F,BLACK,U,A,30_to_34,30_to_34,Staff,0,0,0.0,176.36549768518518,wop6wqfCmMKDwqM=,Retirement
174,.under_1,Children Services,26.7381,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,174.36549768518518,wop6wqfCmMKDwp4=,Retirement
188,.under_1,Children Services,18.1933,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,188.3654976851852,wop6wqfCl8KMwqE=,Retirement
187,.under_1,Adult Services,16.64,2,F,HISPA,U,A,.under_29,.under_29,Staff,1,1,0.014117647058823532,90.36549768518519,wop6wqfCl8KLwp0=,Retirement
188,.under_1,Other,19.7874,2,,HISPA,,,,,Staff,1,1,0.005486702127659581,20.365497685185183,wop6wqfCl8KHwqY=,Retirement
