duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
333,.under_1,Adult Services,15.416,2,F,,U,A,55_to_59,50_to_54,Staff,0.0012492492492492504,254.0,wop6wqXCmcKDwp4=,V Termination
61,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,61.0,wop6wqXCmMKMwqM=,V Termination
267,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.0032972621722846505,267.0,wop6wqXCmMKMwp4=,IV Termination
198,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.00444630808080809,198.0,wop6wqXCmMKKwqY=,V Termination
330,.under_1,Self Sufficiency,17.562552,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,330.0,wop6wqXCmMKKwqQ=,V Termination
29,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,29.0,wop6wqXCmMKJwqA=,V Termination
50,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,50.0,wop6wqXCmMKJwp4=,V Termination
218,.under_1,Self Sufficiency,16.887069,1,M,HISPA,U,A,30_to_34,30_to_34,Staff,0.0,218.0,wop6wqXCmMKFwqM=,V Termination
147,.under_1,Adult Services,18.1933,1,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,147.0,wop6wqXCmMKDwqI=,V Termination
303,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,303.0,wop6wqXCl8KLwqQ=,V Termination
279,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,279.0,wop6wqXCl8KLwqM=,V Termination
350,.under_1,Children Services,27.8076,1,F,HISPA,U,A,30_to_34,30_to_34,Staff,0.0,350.0,wop6wqXCl8KLwqI=,V Termination
317,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,55_to_59,55_to_59,Staff,0.0,317.0,wop6wqXCl8KLwp4=,V Termination
245,.under_1,Children Services,26.7381,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,245.0,wop6wqXCl8KKwqY=,V Termination
282,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,282.0,wop6wqXCl8KKwqM=,V Termination
233,.under_1,Children Services,28.92,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,233.0,wop6wqXCl8KKwqI=,V Termination
259,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,259.0,wop6wqXCl8KIwp8=,V Termination
16,.under_1,Children Services,30.0767,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,16.0,wop6wqXCl8KHwqU=,V Termination
205,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,30_to_34,.under_29,Staff,0.0,205.0,wop6wqXCl8KHwqE=,V Termination
68,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,68.0,wop6wqXCl8KHwqA=,V Termination
348,.under_1,Self Sufficiency,14.4043,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,348.0,wop6wqXClsKHwqU=,V Termination
37,.under_1,Self Sufficiency,14.4043,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.0,37.0,wop6wqXClsKFwqA=,V Termination
